,,,,,,,,,,
,,Money Keeper,,,,,,,,
,,Personal Finance Book,,,,,,,,
Transaction Report,,,,,,,,,,
From 6/1/2023 to 12/30/2026,,,,,,,,,,
,,,,,,,,,,
,,,,,,,Total income,170.836.000,Opening balance,0
,,,,,,,Total expense,758.746.341,Closing balance,-587.910.341
,,,,,,,,,,
,,,,,,,,,,Currency: VND
No,Date,Time,Income amount,Expense amount,Balance,Parent Category,Category,Payee,Event,Description
198,1/8/2026,12:00,       ,  30.000 ,-526.470.344,Food and Dining,Ăn ngoài tiệm(Cty),,,Cơm trưa
199,1/7/2026,22:00,       ,  251.000 ,-526.440.344,Food and Dining,Ăn/Uống vặt,,,Hạt dinh dưỡng
200,1/7/2026,22:00,       ,  409.560 ,-526.189.344,Mua sắm,,,,Mũ bảo hiểm andes
201,1/7/2026,22:00,       ,  713.400 ,-525.779.784,Mua sắm,,,,Máy massage mặt tặng cô Mui
202,1/7/2026,13:00,       ,  45.000 ,-525.066.384,Food and Dining,Ăn ngoài tiệm(Cty),,,Cơm sườn
203,1/6/2026,12:00,       ,  20.000 ,-525.021.384,Food and Dining,Ăn/Uống vặt,,,Nc cam
204,1/6/2026,12:00,       ,  30.000 ,-525.001.384,Food and Dining,Ăn ngoài tiệm(Cty),,,Cơm trưa
205,1/5/2026,19:00,       ,  293.000 ,-524.971.384,Food and Dining,Đi siêu thị,,,Bhxanh
206,1/5/2026,18:30,       ,  89.000 ,-524.678.384,Mua sắm,,,,Dr.DIY
207,1/5/2026,18:30,       ,  55.000 ,-524.589.384,Food and Dining,Ăn ngoài tiệm(Nhà),,,Bún bò
208,1/5/2026,17:23,       ,  100.000 ,-524.534.384,Hoạt động xã hội,,,,Donate Lát radio
209,1/5/2026,17:17,       ,  9.500.000 ,-524.434.384,Gia Đình Lớn,,,,"8tr Oanh đất
1tr cho mẹ
500k sữa cháu"
210,1/5/2026,08:00,       ,  6.000 ,-514.934.384,Đi lại,,,,Qua phà
211,1/5/2026,07:00,       ,  45.000 ,-514.928.384,Đi lại,Xăng xe,,,
